Bowler,O,M,R,W,ER
Nicolaj Laegsgaard,2.0,0,27,1,13.50
Matthew Weldon,2.0,0,51,0,25.50
Christian Peck,1.0,0,17,0,17.00
Anders Bulow,2.0,0,39,1,19.50
Aqeel Amjad,1.0,0,19,0,19.00
Surya Anand,1.0,0,27,0,27.00
Shangeev Thanikaithasan,1.0,0,19,0,19.00
