Batter,Type,R,B,4s,6s,SR
Rockey Dianish, c Peck b Bulow ,52,20,6,4,260.00
Divyes Kumar, c Weldon b Laegsgaard ,0,1,0,0,0.00
Priyan Pushparajan, NOT OUT ,106,30,1,15,353.33
Varun Prasath, NOT OUT ,37,12,4,3,308.33
