Bowler,O,M,R,W,ER
S Sidharthan,1.0,0,14,0,14.00
J Johny,2.0,0,17,2,8.50
P Pushparajan,1.0,0,13,0,13.00
S Thomas(C),1.0,0,21,0,21.00
V Sudhakaran,1.0,0,12,1,12.00
