Batter,Type,R,B,4s,6s,SR
C Webster, c Kumar b Johny ,9,8,0,1,112.50
M Bashir, c Kunnanchirakkal b Sudhakaran ,22,10,2,2,220.00
M Gogev, c Thomas b Johny ,18,12,1,2,150.00
S Mishra, NOT OUT ,21,7,2,2,300.00
J Gul(WK), NOT OUT ,0,1,0,0,0.00
