Bowler,O,M,R,W,ER
Sanjai Sidharthan,2.0,0,29,1,14.50
Jithu Johny,1.0,0,14,0,14.00
Priyan Pushparajan,2.0,0,16,2,8.00
Clinto Paul,2.0,0,30,2,15.00
Varun Prasath,2.0,0,21,3,10.50
Savio Thomas(C),1.0,0,13,0,13.00
