Batsman,Score,Overs
Shangeev Thanikaithasan,30-1,2.4
Rizwan Mahmood(C),64-2,4.2
Kamran Mahmood,66-3,4.5
Nicolaj Laegsgaard,68-4,5.2
Anders Bulow,69-5,5.5
Omar Hayat,70-6,6.2
Surya Anand,102-7,8.3
Christian Peck,103-8,8.3
