Batsman,Score,Overs
Umair Rasool,8-1,0.5
Raza Iqbal,16-2,1.4
Walid Ghauri,35-3,3.0
Mirza Anwar,55-4,4.4
Chaudhary Akram,64-5,5.2
Abdullah Raja,75-6,6.0
Nasrat Bismillah,81-7,6.3
Syed Abbas,81-8,6.4
Rizwan Bhatti(WK),94-9,8.3
Aamir Naseem,100-10,9.1
