Bowler,O,M,R,W,ER
Anders Bulow,2.0,0,21,2,10.50
Matthew Weldon,1.0,0,14,1,14.00
Aqeel Amjad,1.1,0,14,1,12.00
Nicolaj Laegsgaard,2.0,0,18,1,9.00
Surya Anand,1.0,0,14,2,14.00
Christian Peck,2.0,0,15,3,7.50
