Batter,Type,R,B,4s,6s,SR
Phil Mustard(WK), b Philander  ,0,1,0,0,0.00
Ian Bell, b Kruger  ,0,2,0,0,0.00
Eoin Morgan(C), c&b Davids  ,36,34,4,1,105.88
Tim Ambrose, c Petersen b Tshabalala ,53,45,6,1,117.78
Darren Maddy, b Ntini  ,10,14,0,0,71.43
Chris Schofield, NOT OUT ,20,14,0,2,142.86
Tim Bresnan, run out (Davids / Vilas)  ,11,7,2,0,157.14
Chris Tremlett, NOT OUT ,19,4,0,3,475.00
