Bowler,O,M,R,W,ER
Vernon Philander,3.0,0,29,1,9.67
Garnett Kruger,3.0,0,23,1,7.67
Makhaya Ntini,4.0,0,37,1,9.25
Thandi Tshabalala,4.0,0,30,1,7.50
Jacques Kallis(C),2.0,0,12,0,6.00
Henry Davids,4.0,0,23,1,5.75
