Batsman,Score,Overs
Kiran Prabhu Navgire,1-1,0.2
Georgia Voll,2-2,0.5
Dinesh Vrinda,13-3,3.1
Deepti Sharma(C),25-4,5.0
Shweta Sehrawat,36-5,7.4
Grace Harris,48-6,10.0
Chinelle Henry,83-7,13.4
Uma Chetry(WK),105-8,16.3
Gouher Sultana,105-9,16.4
Sophie Ecclestone,105-10,17.1
