Bowler,O,M,R,W,ER
Chinelle Henry,4.0,0,31,1,7.75
Grace Harris,4.0,0,36,0,9.00
Deepti Sharma(C),4.0,0,37,1,9.25
Kranti Goud,4.0,0,46,1,11.50
Sophie Ecclestone,4.0,0,34,2,8.50
