Batter,Type,R,B,4s,6s,SR
Beth Mooney(WK), NOT OUT ,96,59,17,0,162.71
Dayalan Hemalatha, c Chetry b Henry ,2,3,0,0,66.67
Harleen Deol, b Ecclestone  ,45,32,6,0,140.63
Ashleigh Gardner(C), c Ecclestone b Goud ,11,10,1,0,110.00
Deandra Dottin, lbw b Ecclestone  ,17,8,2,1,212.50
Phoebe Litchfield, c Sehrawat b Sharma ,8,6,1,0,133.33
Bharti Fulmali, NOT OUT ,2,3,0,0,66.67
