Batter,Type,R,B,4s,6s,SR
Nicolaj Laegsgaard, NOT OUT ,86,22,2,12,390.91
Shangeev Thanikaithasan, c Naseem b Saeed ,7,4,0,1,175.00
Rizwan Mahmood(C), NOT OUT ,6,3,1,0,200.00
