Bowler,O,M,R,W,ER
Mofassar Saeed(C),2.0,0,36,1,18.00
Chaudhary Akram,1.0,0,28,0,28.00
Aamir Naseem,1.0,0,18,0,18.00
Syed Abbas,0.4,0,20,0,30.00
