Bowler,O,M,R,W,ER
Haris Ali,1.0,0,23,0,23.00
Jack Jarvis,1.3,0,25,0,16.67
Chris Greaves,1.0,0,18,1,18.00
Fred Huddleston,1.0,0,24,0,24.00
Charlston Davidson,1.0,0,21,0,21.00
