Batter,Type,R,B,4s,6s,SR
Nicolaj Laegsgaard, NOT OUT ,71,20,3,9,355.00
Shangeev Thanikaithasan, c Huddleston b Greaves ,23,9,1,3,255.56
Rizwan Mahmood(C), NOT OUT ,11,5,0,1,220.00
