Batsman,Score,Overs
Dayalan Hemalatha,3-1,1.0
Harleen Deol,104-2,12.2
Ashleigh Gardner(C),148-3,16.2
Deandra Dottin,169-4,17.5
Phoebe Litchfield,178-5,19.0
