Bowler,O,M,R,W,ER
Jamie Batten,2.0,0,41,0,20.50
Jack Whatmough,1.0,0,23,0,23.00
Gagandeep Singh,1.0,0,14,0,14.00
Sahil Kumar,1.0,0,25,0,25.00
Shivam Mishra,1.0,0,15,0,15.00
