Bowler,O,M,R,W,ER
Anders Bulow,2.0,0,18,0,9.00
Matthew Weldon,2.0,0,29,0,14.50
Surya Anand,1.0,0,20,0,20.00
Nicolaj Laegsgaard,1.0,0,20,0,20.00
Aqeel Amjad,1.0,0,19,1,19.00
