Batter,Type,R,B,4s,6s,SR
Finlay McCreath(C), c Mahmood b Amjad ,28,14,1,3,200.00
Jamie Crawley, NOT OUT ,66,27,6,6,244.44
Chris Greaves, NOT OUT ,7,3,0,1,233.33
