Batter,Type,R,B,4s,6s,SR
Hashim Amla, NOT OUT ,82,55,10,1,149.09
Henry Davids, lbw b Sidebottom  ,0,1,0,0,0.00
Jacques Kallis(C), c Ambrose b Meaker ,8,11,0,0,72.73
Alviro Petersen, c Ambrose b Meaker ,56,41,7,0,136.59
Farhaan Behardien, NOT OUT ,4,1,1,0,400.00
