Bowler,O,M,R,W,ER
Ryan Sidebottom,3.0,0,18,1,6.00
Monty Panesar,4.0,0,34,0,8.50
Chris Tremlett,2.1,0,27,0,12.46
Stuart Meaker,4.0,0,34,2,8.50
Chris Schofield,4.0,0,29,0,7.25
Tim Bresnan,1.0,0,12,0,12.00
